ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,polarity
취급액/NNG,472,243,715,7.492651011047532e-05,4.84083031196462e-05,1.547802861944708,Hawkish
고유가/NNG,569,144,713,9.032454290860267e-05,2.868640184867923e-05,3.1486884756430813,Hawkish
고착화/NNG,477,233,710,7.572022314130663e-05,4.6416191880154585e-05,1.6313320863722365,Hawkish
비즈니스/NNG,473,236,709,7.508525271664159e-05,4.701382525200207e-05,1.5970887779110063,Hawkish
천연가스/NNG,440,263,703,6.984674671315497e-05,5.239252559862943e-05,1.333143342778309,Hawkish
입법/NNG,552,142,694,8.762591860377623e-05,2.8287979600780907e-05,3.0976379310368727,Hawkish
드리/VV,502,191,693,7.968878829546317e-05,3.804932467428981e-05,2.094354866416576,Hawkish
채용/NNG,491,202,693,7.79426196276343e-05,4.0240647037730585e-05,1.9369126832019736,Hawkish
정세/NNG,514,179,693,8.15936995694583e-05,3.565879118689987e-05,2.288179067590876,Hawkish
발급/NNG,463,229,692,7.349782665497897e-05,4.5619347384357945e-05,1.611110874422111,Hawkish
불투명/NNG,446,245,691,7.079920235015254e-05,4.8806725367544526e-05,1.4506034120705946,Hawkish
가이드라인/NNG,491,193,684,7.79426196276343e-05,3.8447746922188135e-05,2.0272350363046563,Hawkish
세미나/NNG,440,244,684,6.984674671315497e-05,4.860751424359536e-05,1.4369536850438331,Hawkish
양국/NNG,495,188,683,7.857759005229934e-05,3.745169130244233e-05,2.098105247577299,Hawkish
기념/NNG,451,230,681,7.159291538098384e-05,4.58185585083071e-05,1.562530941867229,Hawkish
심하/VA,423,257,680,6.714812240832852e-05,5.119725885493446e-05,1.3115569839117802,Hawkish
경제학/NNG,438,241,679,6.952926150082245e-05,4.800988087174788e-05,1.4482281613353882,Hawkish
모양새/NNG,432,246,678,6.857680586382488e-05,4.900593649149368e-05,1.3993571141269436,Hawkish
깜짝/MAG,475,202,677,7.540273792897412e-05,4.0240647037730585e-05,1.8737953656230903,Hawkish
매장/NNG,430,246,676,6.825932065149235e-05,4.900593649149368e-05,1.3928786089689484,Hawkish
안내/NNG,430,246,676,6.825932065149235e-05,4.900593649149368e-05,1.3928786089689484,Hawkish
메시지/NNG,444,231,675,7.048171713782001e-05,4.6017769632256265e-05,1.5316195830667918,Hawkish
라인/NNG,443,231,674,7.032297453165375e-05,4.6017769632256265e-05,1.528169989411236,Hawkish
빌라/NNG,484,186,670,7.683142138447046e-05,3.7053269054544e-05,2.073539618633144,Hawkish
논문/NNG,431,238,669,6.841806325765861e-05,4.74122474999004e-05,1.4430461930285492,Hawkish
피크/NNG,505,161,666,8.016501611396195e-05,3.207299095581497e-05,2.4994555769494795,Hawkish
무료/NNG,465,201,666,7.38153118673115e-05,4.004143591378143e-05,1.8434731468235332,Hawkish
전원/NNG,432,234,666,6.857680586382488e-05,4.661540300410375e-05,1.4711190174155049,Hawkish
예방/NNG,444,220,664,7.048171713782001e-05,4.382644726881549e-05,1.6082005622201312,Hawkish
편리/NNG,447,213,660,7.095794495631879e-05,4.243196940117136e-05,1.6722755497264274,Hawkish
시장점유율/NNG,426,232,658,6.76243502268273e-05,4.621698075620543e-05,1.4631927296061538,Hawkish
예비/NNG,433,220,653,6.873554846999114e-05,4.382644726881549e-05,1.5683577554984611,Hawkish
제일차/NNG,414,238,652,6.571943895283217e-05,4.74122474999004e-05,1.3861278977118778,Hawkish
협업/NNG,438,212,650,6.952926150082245e-05,4.22327582772222e-05,1.64633484378221,Hawkish
브렌트유/NNG,458,190,648,7.270411362414768e-05,3.785011355034065e-05,1.920842681949981,Hawkish
공통/NNG,433,215,648,6.873554846999114e-05,4.283039164906968e-05,1.6048311916728444,Hawkish
상호금융/NNG,460,187,647,7.302159883648019e-05,3.725248017849317e-05,1.9601808654511403,Hawkish
낙찰가율/NNG,422,220,642,6.698937980216226e-05,4.382644726881549e-05,1.5285149487767913,Hawkish
스타/NNG,438,204,642,6.952926150082245e-05,4.063906928562891e-05,1.710896994518767,Hawkish
